type,precision,recall,f1,fp_cnt,fn_cnt,within_error,outer_error,support,query_cnt
overall,0.29685117070970213,0.5133947041521827,0.3761861321334072,19904,4428,0.03352869327532929,0.11084292943977757,,
art,0.006587615283245759,0.00920386562351954,0.007679012223027298,3016,2153,0.0027611596870558623,0.011504832029399427,9971,2173
building,0.001969279243789014,0.002273760800353462,0.002110590213593443,2534,2194,0.0,0.013642564802120772,9881,2199
event,0.0016556291390673655,0.0023518344308450056,0.0019432520494721802,3015,2121,0.0014111006585070035,0.013640639698901032,9543,2126
location,0.006886725243393762,0.013010318528429744,0.00900620665369185,4182,2200,0.0035890533871530328,0.01480484522200626,9972,2229
organization,0.005416191562128232,0.008182601205821781,0.006518005498496267,3489,2303,0.003014642549513288,0.020671834625233972,10572,2322
other,0.006071118820457812,0.010124385305148614,0.007590539663630802,5730,3422,0.005785363031513493,0.022562915822902624,15642,3457
person,0.0067508071617060445,0.00950020652618959,0.007892925822569149,3384,2398,0.002065262288302085,0.03015282940921044,11384,2421
product,0.008331229487482123,0.013698630136929438,0.010361062800701547,3928,2376,0.0033208800331950153,0.018264840182572583,10434,2409
art-music,0.01162790697664761,0.01280878316548208,0.012189807810875341,1190,1079,0.00365965233299488,0.01280878316548208,4945,1093
art-writtenart,0.0032751091702878,0.005555555555504116,0.004120874454300131,1826,1074,0.0018518518518347053,0.01018518518509088,5026,1080
building-hospital,0.0017436791630187998,0.0018181818181652895,0.0017801463150473383,1145,1098,0.0,0.016363636363487605,5107,1100
building-theater,0.002155172413777621,0.0027297543220861716,0.0024086662855460927,1389,1096,0.0,0.010919017288344686,4774,1099
event-election,0.0,0.0,0.0,1227,973,0.0010277492291775154,0.011305241520952669,4620,973
event-sportsevent,0.0027886224205087083,0.004336513443154064,0.003394428365625158,1788,1148,0.0017346053772616255,0.01561144839535463,4923,1153
location-bodiesofwater,0.005558643690908513,0.009090909090826447,0.00689892595639098,1789,1090,0.003636363636330579,0.012727272727157027,4874,1100
location-other,0.007877280265307308,0.016829052258486903,0.010731427455272372,2393,1110,0.0035429583702077687,0.016829052258486903,5098,1129
organization-government/governmentagency,0.005271481286213645,0.00884173297958584,0.006605015134993954,1887,1121,0.0017683465959171677,0.018567639257130262,5254,1131
organization-politicalparty,0.005586592178736272,0.0075566750629088445,0.006423977981676338,1602,1182,0.004198152812727136,0.022670025188726534,5318,1191
other-educationaldegree,0.0030518819938651896,0.0025316455695988892,0.0027675227186665413,980,1182,0.0025316455695988892,0.01350210970452741,5336,1185
other-livingthing,0.00721062618593089,0.01596638655448768,0.009934636236405968,2616,1171,0.00504201680668032,0.025210084033401598,5473,1190
other-medical,0.0060549604098460415,0.012014787430572877,0.008052024035663338,2134,1069,0.010166358595100128,0.029574861367564004,4833,1082
person-actor,0.004901960784273678,0.004918032786844935,0.004909978633366194,1218,1214,0.0024590163934224674,0.02459016393422467,5942,1220
person-athlete,0.007787448465378894,0.01415487094076474,0.010047276744868416,2166,1184,0.0016652789342076165,0.03580349708546375,5442,1201
product-car,0.007411067193639273,0.012135922329998902,0.009202449279813465,2009,1221,0.00242718446599978,0.017799352750665055,5396,1236
product-weapon,0.009292720702068701,0.01534526854206867,0.01157555800263422,1919,1155,0.004262574595019075,0.018755328218083928,5038,1173
